epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5546,1.64538,1.60706,0.96834,0.33729,0.26497,0.21332,0.11739,1.54525,1.21176,0.92901,0.000237412,0.000237412,0.000237412
2,108.044,1.58181,1.22241,0.9361,0.35349,0.28197,0.23475,0.13094,1.51136,1.1697,0.92396,0.000465999,0.000465999,0.000465999
3,156.291,1.57884,1.19089,0.93184,0.38041,0.29134,0.25471,0.14063,1.50566,1.15153,0.91716,0.000685161,0.000685161,0.000685161
4,203.773,1.55666,1.16613,0.92619,0.38893,0.3001,0.25614,0.14615,1.48377,1.11974,0.91884,0.000671588,0.000671588,0.000671588
5,251.006,1.53086,1.13408,0.92009,0.39794,0.3093,0.27643,0.15529,1.47867,1.10818,0.90765,0.000657451,0.000657451,0.000657451
6,297.75,1.52548,1.10889,0.91573,0.4261,0.31545,0.29016,0.16304,1.45646,1.07932,0.90839,0.000643314,0.000643314,0.000643314
7,342.315,1.51171,1.08879,0.91308,0.39866,0.32792,0.28671,0.16331,1.45921,1.08072,0.91175,0.000629177,0.000629177,0.000629177
8,387.625,1.50059,1.07091,0.9092,0.42483,0.33397,0.30918,0.17496,1.4331,1.0462,0.90135,0.00061504,0.00061504,0.00061504
9,437.288,1.4799,1.05579,0.90582,0.44008,0.33145,0.3066,0.17446,1.4225,1.04416,0.89788,0.000600902,0.000600902,0.000600902
10,486.217,1.47878,1.04357,0.901,0.43525,0.34274,0.31105,0.17582,1.41903,1.03903,0.8963,0.000586765,0.000586765,0.000586765
11,532.441,1.46,1.02271,0.901,0.44173,0.34594,0.31977,0.1811,1.41676,1.03018,0.89746,0.000572628,0.000572628,0.000572628
12,579.39,1.45578,1.02306,0.89884,0.44182,0.34443,0.31721,0.18009,1.40855,1.0279,0.89378,0.000558491,0.000558491,0.000558491
13,621.408,1.44297,1.00563,0.89746,0.45416,0.34405,0.31672,0.18113,1.40422,1.03288,0.89231,0.000544354,0.000544354,0.000544354
14,667.203,1.43513,1.00106,0.89379,0.46401,0.34678,0.33207,0.18919,1.39495,1.00779,0.89155,0.000530216,0.000530216,0.000530216
15,711.892,1.44521,0.99544,0.89257,0.4588,0.35631,0.33143,0.19166,1.3891,1.0038,0.89146,0.000516079,0.000516079,0.000516079
16,757.197,1.43658,0.98808,0.89345,0.46057,0.35985,0.33682,0.19195,1.38565,0.99346,0.88752,0.000501942,0.000501942,0.000501942
17,807.236,1.4259,0.97329,0.88932,0.46302,0.3719,0.3451,0.19689,1.38375,0.97976,0.88976,0.000487805,0.000487805,0.000487805
18,858.324,1.42232,0.97174,0.88951,0.46495,0.3607,0.34087,0.19492,1.37559,0.98735,0.88792,0.000473668,0.000473668,0.000473668
19,908.238,1.40706,0.95823,0.88878,0.46604,0.35389,0.33652,0.19395,1.37837,0.98843,0.8864,0.00045953,0.00045953,0.00045953
20,957.501,1.40356,0.95163,0.88601,0.47202,0.367,0.35055,0.2009,1.37517,0.96878,0.88551,0.000445393,0.000445393,0.000445393
21,1003.98,1.40039,0.9454,0.8844,0.48068,0.37058,0.35717,0.20582,1.36009,0.9652,0.88302,0.000431256,0.000431256,0.000431256
22,1052.28,1.39196,0.93899,0.88312,0.47406,0.36979,0.3518,0.20478,1.36135,0.96291,0.88284,0.000417119,0.000417119,0.000417119
23,1099.72,1.38694,0.93319,0.88409,0.48014,0.37661,0.36021,0.20854,1.35684,0.95422,0.88358,0.000402982,0.000402982,0.000402982
24,1144.62,1.38082,0.92509,0.88136,0.47628,0.37383,0.35079,0.20239,1.35798,0.96066,0.88427,0.000388844,0.000388844,0.000388844
25,1193.49,1.37665,0.91901,0.87999,0.4727,0.37458,0.35586,0.20706,1.35446,0.95844,0.88179,0.000374707,0.000374707,0.000374707
26,1243.44,1.38261,0.91951,0.88098,0.48316,0.37465,0.36107,0.2094,1.34891,0.94989,0.87901,0.00036057,0.00036057,0.00036057
27,1294.76,1.37336,0.91289,0.87707,0.48327,0.37937,0.36324,0.21069,1.34922,0.94732,0.8802,0.000346433,0.000346433,0.000346433
28,1345.35,1.36863,0.90435,0.8751,0.49249,0.37152,0.36317,0.21036,1.35048,0.94972,0.88015,0.000332296,0.000332296,0.000332296
29,1393.87,1.36549,0.89971,0.87474,0.48551,0.38273,0.36865,0.21237,1.34166,0.94135,0.87868,0.000318158,0.000318158,0.000318158
30,1439.28,1.36367,0.89215,0.87444,0.47833,0.38182,0.36293,0.21099,1.34659,0.94977,0.88052,0.000304021,0.000304021,0.000304021
31,1485.53,1.35409,0.88576,0.87418,0.50594,0.372,0.36774,0.21457,1.33362,0.93528,0.87778,0.000289884,0.000289884,0.000289884
32,1534.37,1.35611,0.88025,0.87222,0.50186,0.37987,0.37376,0.21591,1.33923,0.93422,0.8794,0.000275747,0.000275747,0.000275747
33,1584.51,1.35107,0.88078,0.87312,0.49244,0.38547,0.37003,0.21621,1.34014,0.93211,0.87935,0.00026161,0.00026161,0.00026161
34,1633.06,1.34447,0.87628,0.87048,0.49313,0.3856,0.37213,0.216,1.33724,0.93043,0.87732,0.000247472,0.000247472,0.000247472
35,1683.89,1.34229,0.86698,0.86973,0.50352,0.38601,0.37667,0.21901,1.33211,0.93005,0.87647,0.000233335,0.000233335,0.000233335
36,1735.78,1.33208,0.85561,0.8703,0.50547,0.38056,0.37477,0.21779,1.33118,0.9271,0.87703,0.000219198,0.000219198,0.000219198
37,1788.05,1.32947,0.8534,0.86903,0.49991,0.38699,0.37524,0.21954,1.32555,0.92418,0.87516,0.000205061,0.000205061,0.000205061
38,1837.57,1.33152,0.8504,0.8674,0.49159,0.39165,0.37416,0.2176,1.32761,0.93131,0.87496,0.000190924,0.000190924,0.000190924
39,1886.41,1.32193,0.83943,0.86527,0.49363,0.38879,0.37587,0.21867,1.33,0.92698,0.8744,0.000176786,0.000176786,0.000176786
40,1933.99,1.31765,0.83884,0.86578,0.50031,0.39142,0.38029,0.22203,1.32374,0.92281,0.87535,0.000162649,0.000162649,0.000162649
